,year,Meta,Apple,Kaart,Amazon,TomTom,Microsoft,DigitalEgypt,Grab,Mapbox,Lyft,Other
0,2016,0.0030895760284021484,0.003557250157824775,1.037538409719549,0.02336785311081191,0.00033657903447365027,4.2072379309206284e-05,0.0,0.018813060742119577,0.0453515859168137,0.0,0.4601986602873964
1,2017,0.23239317558391118,0.06487693190015709,1.1502668611210536,0.12486993417798388,0.0537014341698509,0.005376317725123382,0.0,0.12530524884420455,0.03389280088382886,0.0,0.3654235734929065
2,2018,1.1041039787748725,0.4802598711235986,1.6652930657663878,0.2413610143589811,0.004963559866920405,0.13884990125838284,0.0007269184710763934,0.21236900834384226,0.012354046310281136,0.00812141857470687,0.7727629446396954
3,2019,1.909549517535515,0.9045226029432665,3.7518992564957965,1.7450783627108477,8.757782472027029e-07,0.33563807223832354,1.278633175692081,0.3225193519843506,0.04345173773496211,0.15004577342586828,0.4442192487721326
4,2020,2.467540598673837,5.129944862619402,2.8783409207128114,2.571690032591092,8.90102197083758e-06,0.3965618912535443,0.8117112526274703,0.32033887970847374,0.07966592684339052,0.04451045046737041,0.33876150290195567
5,2021,3.554337470590215,4.042178124280266,1.8304564507468064,2.0201141438701162,0.18661884859418149,0.2773288234609814,0.3078047486243258,0.7295272501896999,0.1388538405789297,0.06866504710711281,0.190918999871827
6,2022,2.9797154482991113,1.409430692269785,1.729083219725789,0.35053653755404607,0.26521905846538224,0.16600948483277472,0.44863471376692793,0.3944113578546492,0.11693147352283181,0.3006046386362011,0.3880292197503084
7,2023,1.0740008598771165,1.1759232175583336,1.0539053514676076,0.2108855654218305,0.3498110463570422,0.161698461749052,0.2869145538169611,0.2245598240877899,0.07899266861628722,0.3213328519623234,0.26396936613379157
8,2024,0.10025431601452177,1.1447483853045715,0.8656712778491202,0.07711011395092884,0.2176450603341085,0.13658260700903016,0.2868025553761698,0.13617348132054136,0.04206476702618228,0.25121951596868225,0.1845374764905266
