,year,Meta,adt,Kaart,amap,tomtom,MSFTOpenMaps,DigitalEgypt,grab,mapbox,Other
0,2016,0.0029880440973028685,2.041013727665894e-05,0.0011773733474735543,0.02240041723452285,0.00032189702219187813,0.0,0.0,0.0,0.0013709780782121476,0.003648749398287285
1,2017,0.2226706904883478,0.0008155874601140805,0.7965374908685451,0.1193286951485385,0.05113204799153733,0.0,0.0,0.003488106030203224,0.01684625291629944,0.01631174920228161
2,2018,1.0712724031667593,0.0006830775360930556,1.0377364683312904,0.06677579891225971,0.004779427961517975,0.0,0.0,0.08461448508084221,0.0023266932049832195,0.018794994719112765
3,2019,1.810557995922018,0.00023357029714919558,3.3906001069694693,0.11499348850189468,0.0,0.0,0.0,0.05555700633661899,0.00100791105459828,0.1546182190002229
4,2020,2.31756789972394,4.656222841122524,2.605728717375163,0.08194159943362057,5.6181877923884625e-06,0.2785834598733743,0.0,0.09260260649212995,0.02402039666553945,0.10319553433386097
5,2021,3.258264378811795,3.8793303656622244,1.6326505921699184,1.3359078707335272,0.17294974511016237,0.236811239386927,0.09166605979111932,0.062213249798352015,0.11798527820792021,0.1123395741578222
6,2022,2.717010407809589,1.3152185614695708,1.533140887205442,0.2982593794357774,0.2722300245533043,0.1474781304668446,0.32063513713298286,0.13607730467577214,0.08611608020977708,0.2038264165069009
7,2023,0.993127975640222,1.1110206480663118,0.8771201246468413,0.17739172191331376,0.3123084662223619,0.12731709398854013,0.2630808289464154,0.20419580051975547,0.07071145761978537,0.10289678787631042
