,year,amap,adt,Kaart,grab,tomtom,Meta,mapbox,expedia,MSFTOpenMaps,Other
0,2016,0.11170267894500467,0.0007677160064948774,0.010748024090928284,0.0,0.0034547220292269485,0.0003838580032474387,0.03147635626628997,0.026486202224073274,0.0,0.0
1,2017,0.28549353635095914,0.0065955602457317295,0.015703714870789837,0.028266686767421702,0.20100755034610987,0.0075377831379791205,0.02104297792685838,0.058417819319338184,0.0,0.0012562971896631866
2,2018,0.11846143331825446,0.00846153095130389,0.10056204092126544,0.0488165247190609,0.0006508869962541454,0.02766269734080118,0.007159756958795598,0.034497010801469705,0.0,0.007485200456922672
3,2019,0.1468178819924676,0.005674121043187153,0.15816612407884192,0.14362618890567483,0.0,0.043974438084700446,0.0021277953911951826,0.0010638976955975913,0.0,0.01950479108595584
4,2020,0.2335595461707748,0.36678717462030125,0.13322762844952646,0.038159024444802646,0.0003289571072827814,0.058225407989052305,0.03552736758654039,0.0,0.015132026935007944,0.011513498754897348
5,2021,0.7277768151100329,0.3903900842957179,0.11959731041957591,0.10736576730848292,0.03465603881476347,0.0574202996048532,0.04552852158017947,0.002038590518515498,0.013930368543189239,0.02684144182712073
6,2022,0.5001251275338325,0.2198394517488979,0.0558261304791422,0.07777157487439121,0.10549213621575837,0.08393169961691724,0.05659614607195796,0.00423508576048665,0.013090265077867827,0.04427589658690589
7,2023,0.4066513067734142,0.17027823313928087,0.03136704294670963,0.08476569939170342,0.04070247239513512,0.05526574233467889,0.06310750307135629,0.004107588957307214,0.011202515338110584,0.03734171779370195
